timestamp,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,gyroscope_x,gyroscope_y,gyroscope_z
1710733420107,5.544971,-47.54645,-30.198067,21.84,23.4,-23.34,1.1153319,8.486962,0.2892193
1710733420212,-3.3758245,-15.770607,3.1723173,25.56,20.939999,-21.3,-1.6266588,0.6775082,-0.36964676
1710733420318,-4.3861775,-6.232107,11.142614,21.0,27.96,-15.36,-1.6367788,-4.1220407,0.092145376
1710733420423,4.4675803,0.9648633,5.415684,5.8199997,29.82,-23.939999,-1.1089402,-13.611417,0.9219864
1710733420527,-17.413029,22.316355,8.829816,-13.44,31.56,-17.76,1.1723236,0.40746364,4.182228
1710733420632,-10.163386,-19.115307,2.147599,-3.8999999,31.8,-21.24,-1.1824435,0.25193503,-1.2522184
1710733420736,-1.6328455,-3.071761,-3.7062242,-9.3,35.1,-10.98,-3.047189,-4.9859705,2.2205439
1710733420843,13.40753,-2.1021092,-4.7405195,4.2,35.76,7.5,-4.931109,-6.718623,2.8756814
1710733420949,-29.85809,-5.0493712,31.390379,21.359999,23.82,20.76,-3.8727689,-14.67455,4.7915597
1710733421054,-10.903194,-3.7732618,8.010999,34.86,13.32,11.82,-0.27537087,-1.5036207,0.94968325
1710733421159,5.571307,-12.449849,20.300436,27.9,20.52,16.8,-0.21038973,3.5393412,-4.0591903
1710733421263,11.631032,-7.302315,15.581465,0.59999996,32.46,19.98,4.7825046,10.148774,0.06551377
1710733421372,50.65652,23.97314,-26.66183,-1.86,37.2,-7.02,2.915629,8.157795,-2.966229
1710733421478,-13.567941,-9.016563,-5.7005944,-0.65999997,35.579998,-11.639999,-0.42077947,0.1454086,-1.9648803
1710733421584,-13.907918,1.3072342,7.3645644,-14.04,32.7,-11.5199995,-0.8671253,10.690994,-4.428837
1710733421691,-0.80205756,-12.229582,-3.6056678,1.8,29.76,-24.119999,0.26418558,5.9250007,2.3483756
1710733421793,-16.850391,10.15381,3.1842883,18.84,26.039999,-22.26,0.57417756,1.5643408,2.6855316
1710733421899,-5.5976434,13.187263,-0.94570965,20.699999,23.519999,-22.74,-0.24021713,1.9702066,0.68176925
1710733422004,2.2290018,-14.4609785,3.3997664,18.84,26.58,-19.74,-1.8343854,-0.79415464,-2.3094933
1710733422109,11.798626,0.19393034,0.23223756,10.92,30.24,-19.859999,-0.5305017,-10.554108,0.8586032
1710733422215,-9.9790325,-0.5386954,8.161834,-14.099999,32.52,-13.559999,-1.8988339,-6.129532,0.7190535
1710733422319,-11.326968,-16.21114,3.3758245,-7.2599998,35.64,-10.679999,0.39041942,0.0314253,1.9313245
1710733422425,12.457031,-13.369223,-9.409213,-9.3,36.18,-6.2999997,-1.8556907,-0.9576728,-2.3446472
1710733422532,8.303091,-4.9344497,-2.6910827,-5.46,36.0,7.62,-2.988067,-9.122392,3.0503848
1710733422636,13.90313,-4.453215,2.705448,7.74,30.06,20.58,-3.167564,-3.3694315,0.06018744
1710733422740,-12.375628,-7.991845,-12.169727,29.699999,19.32,13.86,0.4181163,4.4304347,2.3366575
1710733422845,-5.1930237,-22.7928,8.0684595,26.039999,20.76,19.199999,-0.7105314,2.2706113,-5.671468
1710733422950,20.463242,-7.2472486,26.099194,-9.48,31.92,17.82,2.4831314,13.31474,-2.663161
1710733423055,4.0414124,-0.8738836,-2.585738,-8.5199995,35.82,-8.82,2.9667616,3.5691686,1.9659456
1710733423161,5.5377884,-45.896847,6.045359,-1.4399999,34.079998,-16.08,-0.92092115,2.2604911,-0.043675844
1710733423264,-7.929596,-18.80885,3.3782187,-5.94,33.54,-17.1,-0.43356264,2.7265444,-5.102084
1710733423371,1.4149733,4.213795,9.332599,-4.56,29.699999,-24.42,-0.30200246,15.652996,-2.7057717
1710733423476,-4.537012,-3.2920272,2.942474,18.24,28.5,-17.58,-0.18056233,0.45007423,2.6972497
1710733423580,27.744009,-44.47469,28.165388,26.34,21.66,-19.26,1.222391,0.31798145,-1.2905679
1710733423684,-2.6791117,-26.977865,-4.000711,27.18,22.74,-15.42,-2.2482407,2.069276,-2.518818
1710733423793,9.466674,-1.1061212,6.7588315,21.42,28.019999,-15.36,0.108124346,-10.592457,2.2471755
1710733423896,0.088585466,-5.887342,1.982399,-2.82,27.42,-27.119999,-2.3137543,-10.872622,-1.355549
1710733423999,-35.53474,-37.36152,-45.99501,-17.039999,31.38,-14.639999,0.8586032,10.337326,3.300722
